date,overall,"food, drinks and tobacco","clothes, shoes and accesories",housing,forniture and domestic appliances,health and personal care,transportation,education and recreation,others
Ago 2002,52.108560301264,42.057562710511,70.372628284826,64.942207719547,66.235195193900,54.318421652597,45.219139803843,50.685999643491,46.166127977698
Sep 2002,52.421983564994,42.005450387809,70.622910000103,65.389986978201,66.013977579372,54.508384050222,45.258411729603,52.298109593098,46.389126096049
Oct 2002,52.653036086686,42.176378806272,70.711244723141,66.153731687769,65.925490533561,54.655050174885,45.327476150766,52.188864964869,46.537178455036
Nov 2002,53.078877281374,42.638719333283,70.781351646187,67.379470870553,65.777571889818,54.750843178815,45.434458293351,52.234968202470,46.642930140027
Dic 2002,53.309929803065,43.241554682299,70.803785861562,67.677990376322,65.607861660165,54.838518131565,45.212820183606,52.386307091119,46.798339137970
Ene 2003,53.525440675316,43.167763633353,70.496016469388,68.260168027186,65.543147253528,55.270939657784,45.415950834085,52.699508433520,47.109616923790
Feb 2003,53.674122454970,43.036857478725,70.881604546144,68.488903752386,65.657387991776,55.549118211571,45.647971177077,52.976628981277,47.434228617719
Mar 2003,54.012930412786,43.643028016394,71.094729592205,68.785484819807,65.745214686498,55.767223186622,45.823114937934,53.147511633691,47.790106027209
Abr 2003,54.105144199470,43.587580505039,71.061779338373,68.866899230472,65.452679154452,56.016176756160,45.875477505613,53.700249362761,47.901834981352
May 2003,53.930559670749,43.591749490855,71.069491099909,67.845988366583,65.741252579970,56.294896513359,45.760821538454,53.742844745327,48.143684487027
Jun 2003,53.975112399147,43.590081896529,70.506532507845,68.013340210727,65.664651853746,56.622865781054,45.758564531226,53.697242629873,48.333117940141
Jul 2003,54.053338701334,43.653450480934,70.047332161891,68.088939306343,65.537864444822,56.812828178680,45.806864485896,53.929763306472,48.556116058491
Ago 2003,54.215489910502,43.616763405752,70.488304707853,68.264691050000,65.815211901841,56.916739233791,45.950861547013,54.360227231469,48.868773214116
Sep 2003,54.538238163897,43.919848674586,70.585753330888,68.467580930545,65.881907361744,57.042298425384,46.164374430739,55.433129749999,49.080736374032
Oct 2003,54.738207386707,44.199170724269,70.779248438496,68.935390718809,65.817853306195,57.054204900449,46.186944503014,55.488754308409,49.152003813917
Nov 2003,55.192541605370,44.581466723610,70.940494361503,70.381465727279,65.761723463702,57.236590450305,46.223056618655,55.489756552705,49.347874326118
Dic 2003,55.429810786838,45.105508240700,71.031633361464,70.523617872884,65.712197132092,57.221436754769,46.327781754013,55.713758152790,49.549262317535
Ene 2004,55.774317349450,45.644558106729,70.876697061531,70.806629871861,65.842286296456,57.507733359737,46.839219591774,55.748335580991,49.897783088070
Feb 2004,56.107944757453,46.041862455008,71.201993184466,71.161364089756,65.986242833671,57.765346183866,47.304163080648,55.854072354186,50.185611587218
Mar 2004,56.298070935617,46.089388893312,71.281915076739,71.543236444540,66.059541804454,57.939613682542,47.592608604329,55.968829326042,50.410908655242
Abr 2004,56.383031952562,45.893446559953,71.269996899822,71.698957658589,66.032467409840,58.046771958126,47.958243775191,56.194334292571,50.625170764833
May 2004,56.241602942647,45.879272008178,71.351320930555,70.816322063606,65.954545981440,58.243770000108,48.120748295574,56.225403865737,50.679885767066
Jun 2004,56.331744509406,45.727520924470,71.402498984380,71.115487715493,65.961809843409,58.358505123460,48.359539660248,56.317109218792,50.814144428012
Jul 2004,56.479390179097,45.941389896839,71.310658915188,71.382346061560,65.842286296456,58.413707871488,48.263842553800,56.618784751793,50.986565653540
Ago 2004,56.828041181560,46.700562213960,71.653481768886,71.660188891606,65.988884238023,58.473240246812,48.348254624110,56.854312161279,51.105191456703
Sep 2004,57.297917049664,47.463486618316,71.717980138088,71.948370059514,66.060202155542,58.651837372785,48.440340518994,58.082562545640,51.268876673472
Oct 2004,57.694747165395,48.311458333322,71.837161907268,72.374826496328,66.381132784380,58.707040120812,48.602845039377,58.125659050354,51.462448235998
Nov 2004,58.186899397697,48.752953931252,71.937414807224,73.820255358682,66.531032481387,58.858577076183,48.722917823882,58.159234234260,51.680848455001
Dic 2004,58.307088153376,48.789224107853,71.839265114959,74.081298389702,66.554144769473,58.874813178544,48.819969134667,58.372712269240,51.886374555831
Ene 2005,58.309160373301,48.132191943227,71.790190268826,74.364310388678,66.806398885142,59.123225544669,49.058309097895,58.632293541823,52.299265917230
Feb 2005,58.503430991316,48.358150974462,71.869411091869,74.419232808571,67.010447371378,59.544281799235,49.253765923801,58.757072956635,52.663419545546
Mar 2005,58.767120976834,48.781303034802,71.980180030282,74.567846415340,67.174874792326,59.835990438324,49.438389115014,59.044215947349,52.858830267812
Abr 2005,58.976415189308,49.430414126377,72.075525445626,74.326187767812,67.254777273991,60.061131057731,49.693430931726,59.016153107070,53.063436788772
May 2005,58.828251464636,49.833138156218,72.142828091750,72.825836485565,67.374300820945,60.266788354305,49.785065425165,59.071777665480,53.200454189325
Jun 2005,58.771783471666,49.227801415712,72.155447337898,73.026787927761,67.540048944069,60.372323019653,49.877151320048,59.322839861549,53.362760036289
Jul 2005,59.001799883395,49.622604372502,71.980881099513,73.238723853935,67.490522612458,60.448632700750,49.999932513227,59.647065891203,53.606448701703
Ago 2005,59.072255360862,49.575077934198,72.257803445547,73.433859981084,67.388168193796,60.545508111505,50.023405388394,59.783371115416,53.692889209435
Sep 2005,59.309006487348,49.613432603706,72.410636537787,73.668411021331,67.429770312349,60.794461681042,50.089309999437,60.925929612496,53.716798286042
Oct 2005,59.454579937114,49.385389079563,72.498270191596,74.381756333821,67.548633508214,60.946539839825,50.244592096693,60.952489086332,53.860712535616
Nov 2005,59.882493351727,49.167768019960,72.638484037689,76.418408892668,67.704476365016,61.015272673154,50.355185450843,61.034171996430,54.046467669252
Dic 2005,60.250312388501,49.884416681756,72.746448699180,76.748589558141,67.800227272796,61.155985560284,50.527620803027,61.343364361649,54.200957087325
Ene 2006,60.603625885796,50.531443280423,72.799729960696,77.225445392033,67.913807659957,61.343241940849,50.797107465996,61.257672474368,54.414299617046
